28 
29 
30 
31 
32 
33 
34 
35 
36 
28 29 
28 30 
28 31 
28 32 
28 33 
28 34 
28 35 
28 36 
29 30 
29 31 
29 32 
29 33 
29 34 
29 35 
29 36 
30 31 
30 32 
30 33 
30 34 
30 35 
30 36 
31 32 
31 33 
31 34 
31 35 
31 36 
32 33 
32 34 
32 35 
32 36 
33 34 
33 35 
33 36 
34 35 
34 36 
35 36 
28 29 30 
28 29 31 
28 29 32 
28 29 33 
28 29 34 
28 29 35 
28 29 36 
28 30 31 
28 30 32 
28 30 33 
28 30 34 
28 30 35 
28 30 36 
28 31 32 
28 31 33 
28 31 34 
28 31 35 
28 31 36 
28 32 33 
28 32 34 
28 32 35 
28 32 36 
28 33 34 
28 33 35 
28 33 36 
28 34 35 
28 34 36 
28 35 36 
29 30 31 
29 30 32 
29 30 33 
29 30 34 
29 30 35 
29 30 36 
29 31 32 
29 31 33 
29 31 34 
29 31 35 
29 31 36 
29 32 33 
29 32 34 
29 32 35 
29 32 36 
29 33 34 
29 33 35 
29 33 36 
29 34 35 
29 34 36 
29 35 36 
30 31 32 
30 31 33 
30 31 34 
30 31 35 
30 31 36 
30 32 33 
30 32 34 
30 32 35 
30 32 36 
30 33 34 
30 33 35 
30 33 36 
30 34 35 
30 34 36 
30 35 36 
31 32 33 
31 32 34 
31 32 35 
31 32 36 
31 33 34 
31 33 35 
31 33 36 
31 34 35 
31 34 36 
31 35 36 
32 33 34 
32 33 35 
32 33 36 
32 34 35 
32 34 36 
32 35 36 
33 34 35 
33 34 36 
33 35 36 
34 35 36 
28 29 30 31 
28 29 30 32 
28 29 30 33 
28 29 30 34 
28 29 30 35 
28 29 30 36 
28 29 31 32 
28 29 31 33 
28 29 31 34 
28 29 31 35 
28 29 31 36 
28 29 32 33 
28 29 32 34 
28 29 32 35 
28 29 32 36 
28 29 33 34 
28 29 33 35 
28 29 33 36 
28 29 34 35 
28 29 34 36 
28 29 35 36 
28 30 31 32 
28 30 31 33 
28 30 31 34 
28 30 31 35 
28 30 31 36 
28 30 32 33 
28 30 32 34 
28 30 32 35 
28 30 32 36 
28 30 33 34 
28 30 33 35 
28 30 33 36 
28 30 34 35 
28 30 34 36 
28 30 35 36 
28 31 32 33 
28 31 32 34 
28 31 32 35 
28 31 32 36 
28 31 33 34 
28 31 33 35 
28 31 33 36 
28 31 34 35 
28 31 34 36 
28 31 35 36 
28 32 33 34 
28 32 33 35 
28 32 33 36 
28 32 34 35 
28 32 34 36 
28 32 35 36 
28 33 34 35 
28 33 34 36 
28 33 35 36 
28 34 35 36 
29 30 31 32 
29 30 31 33 
29 30 31 34 
29 30 31 35 
29 30 31 36 
29 30 32 33 
29 30 32 34 
29 30 32 35 
29 30 32 36 
29 30 33 34 
29 30 33 35 
29 30 33 36 
29 30 34 35 
29 30 34 36 
29 30 35 36 
29 31 32 33 
29 31 32 34 
29 31 32 35 
29 31 32 36 
29 31 33 34 
29 31 33 35 
29 31 33 36 
29 31 34 35 
29 31 34 36 
29 31 35 36 
29 32 33 34 
29 32 33 35 
29 32 33 36 
29 32 34 35 
29 32 34 36 
29 32 35 36 
29 33 34 35 
29 33 34 36 
29 33 35 36 
29 34 35 36 
30 31 32 33 
30 31 32 34 
30 31 32 35 
30 31 32 36 
30 31 33 34 
30 31 33 35 
30 31 33 36 
30 31 34 35 
30 31 34 36 
30 31 35 36 
30 32 33 34 
30 32 33 35 
30 32 33 36 
30 32 34 35 
30 32 34 36 
30 32 35 36 
30 33 34 35 
30 33 34 36 
30 33 35 36 
30 34 35 36 
31 32 33 34 
31 32 33 35 
31 32 33 36 
31 32 34 35 
31 32 34 36 
31 32 35 36 
31 33 34 35 
31 33 34 36 
31 33 35 36 
31 34 35 36 
32 33 34 35 
32 33 34 36 
32 33 35 36 
32 34 35 36 
33 34 35 36 
28 29 30 31 32 
28 29 30 31 33 
28 29 30 31 34 
28 29 30 31 35 
28 29 30 31 36 
28 29 30 32 33 
28 29 30 32 34 
